time,waist_pos,shoulder_pos,elbow_pos,forearm_roll_pos,wrist_angle_pos,wrist_rotate_pos
1.782207009621396303e+09,-1.533980830572545528e-03,3.267379105091094971e-01,1.457281857728958130e-01,3.067961661145091057e-03,9.203884750604629517e-03,-1.533980830572545528e-03
1.782207009631219625e+09,-3.067961661145091057e-03,3.512816131114959717e-01,1.457281857728958130e-01,3.067961661145091057e-03,1.073786616325378418e-02,0.000000000000000000e+00
1.782207009641375542e+09,-4.601942375302314758e-03,3.696893751621246338e-01,1.426602154970169067e-01,3.067961661145091057e-03,1.227184664458036423e-02,-1.533980830572545528e-03
1.782207009651370764e+09,-7.669904269278049469e-03,3.819612264633178711e-01,1.380582749843597412e-01,3.067961661145091057e-03,1.380582712590694427e-02,-1.533980830572545528e-03
1.782207009661120176e+09,-1.073786616325378418e-02,3.942330777645111084e-01,1.349903196096420288e-01,3.067961661145091057e-03,1.840776950120925903e-02,-1.533980830572545528e-03
1.782207009671214104e+09,-1.380582712590694427e-02,4.065049290657043457e-01,1.334563344717025757e-01,3.067961661145091057e-03,2.300971187651157379e-02,-1.533980830572545528e-03
1.782207009681438446e+09,-1.687378995120525360e-02,4.218447208404541016e-01,1.334563344717025757e-01,3.067961661145091057e-03,2.761165425181388855e-02,-1.533980830572545528e-03
1.782207009691187143e+09,-2.147573232650756836e-02,4.341165721416473389e-01,1.319223493337631226e-01,3.067961661145091057e-03,3.528155758976936340e-02,-1.533980830572545528e-03
1.782207009701197624e+09,-2.454369328916072845e-02,4.417864680290222168e-01,1.319223493337631226e-01,3.067961661145091057e-03,4.295146465301513672e-02,0.000000000000000000e+00
1.782207009711384535e+09,-2.761165425181388855e-02,4.417864680290222168e-01,1.288543939590454102e-01,3.067961661145091057e-03,4.908738657832145691e-02,3.067961661145091057e-03
1.782207009721529007e+09,-2.914563566446304321e-02,4.417864680290222168e-01,1.273204088211059570e-01,3.067961661145091057e-03,5.829127132892608643e-02,4.601942375302314758e-03
1.782207009731258631e+09,-3.221359848976135254e-02,4.417864680290222168e-01,1.242524459958076477e-01,3.067961661145091057e-03,6.749515980482101440e-02,3.067961661145091057e-03
1.782207009741207361e+09,-3.221359848976135254e-02,4.402525126934051514e-01,1.211844831705093384e-01,3.067961661145091057e-03,7.669904083013534546e-02,1.533980830572545528e-03
1.782207009751594782e+09,-3.374757990241050720e-02,4.387185275554656982e-01,1.165825426578521729e-01,3.067961661145091057e-03,8.743690699338912964e-02,0.000000000000000000e+00
1.782207009761403084e+09,-3.528155758976936340e-02,4.325825870037078857e-01,1.104466170072555542e-01,3.067961661145091057e-03,9.970875084400177002e-02,-1.533980830572545528e-03
1.782207009771244526e+09,-3.528155758976936340e-02,4.218447208404541016e-01,1.043106988072395325e-01,3.067961661145091057e-03,1.135145798325538635e-01,0.000000000000000000e+00
