pose,waist_cmd,waist_pos,waist_effort_mean,waist_effort_std,shoulder_cmd,shoulder_pos,shoulder_effort_mean,shoulder_effort_std,elbow_cmd,elbow_pos,elbow_effort_mean,elbow_effort_std,forearm_roll_cmd,forearm_roll_pos,forearm_roll_effort_mean,forearm_roll_effort_std,wrist_angle_cmd,wrist_angle_pos,wrist_angle_effort_mean,wrist_angle_effort_std,wrist_rotate_cmd,wrist_rotate_pos,wrist_rotate_effort_mean,wrist_rotate_effort_std
0,0.0,-0.0015339808305725455,0.0,0.0,0.0,-1.8622527122497559,258.239990234375,0.0,0.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
1,0.0,-0.0015339808305725455,0.0,0.0,-1.2,-1.8622527122497559,258.239990234375,0.0,0.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
2,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
3,0.0,-0.0015339808305725455,0.0,0.0,0.2,-1.8622527122497559,258.239990234375,0.0,0.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
4,0.0,-0.0015339808305725455,0.0,0.0,-0.5,-1.8622527122497559,258.239990234375,0.0,1.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
5,0.0,-0.0015339808305725455,0.0,0.0,-0.5,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
6,0.0,-0.0015339808305725455,0.0,0.0,-0.8,-1.8622527122497559,258.239990234375,0.0,0.8,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
7,0.0,-0.0015339808305725455,0.0,0.0,0.0,-1.8622527122497559,258.239990234375,0.0,1.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
8,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,1.2,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
9,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,-1.2,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
10,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,1.2,-0.013805827125906944,333.55999755859375,0.0,1.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
11,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,-1.2,-0.013805827125906944,333.55999755859375,0.0,1.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
12,0.0,-0.0015339808305725455,0.0,0.0,-0.6,-1.8622527122497559,258.239990234375,0.0,0.5,1.56159245967865,-295.8999938964844,0.0,1.2,-0.013805827125906944,333.55999755859375,0.0,-1.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
13,0.0,-0.0015339808305725455,0.0,0.0,-0.9,-1.8622527122497559,258.239990234375,0.0,0.7,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.8,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
14,0.0,-0.0015339808305725455,0.0,0.0,0.0,-1.8622527122497559,258.239990234375,0.0,0.0,1.56159245967865,-295.8999938964844,0.0,0.0,-0.013805827125906944,333.55999755859375,0.0,0.0,0.8022719621658325,-48.42000198364258,0.0,0.0,-0.0015339808305725455,0.0,0.0
